,Date,USD
1543,2024-12-22, 377.617
1544,2024-12-23, 377.715
1545,2024-12-24, 377.737
1546,2024-12-25, 377.813
1547,2024-12-26, 377.827
1548,2024-12-27, 378.024
1549,2024-12-28, 377.996
1550,2024-12-29, 377.949
1551,2024-12-30, 377.971
1552,2024-12-31, 377.890
1553,2025-01-01, 377.865
1554,2025-01-02, 377.979
1555,2025-01-03, 378.346
1556,2025-01-04, 378.272
1557,2025-01-05, 378.185
1558,2025-01-06, 378.333
1559,2025-01-07, 378.358
1560,2025-01-08, 378.492
1561,2025-01-09, 378.484
1562,2025-01-10, 378.449
1563,2025-01-11, 378.448
1564,2025-01-12, 378.422
1565,2025-01-13, 378.391
1566,2025-01-14, 378.560
1567,2025-01-15, 378.662
1568,2025-01-16, 378.853
1569,2025-01-17, 378.984
1570,2025-01-18, 379.040
1571,2025-01-19, 379.077
1572,2025-01-20, 379.142
1573,2025-01-21, 379.233
1574,2025-01-22, 379.266
1575,2025-01-23, 379.334
1576,2025-01-24, 379.367
1577,2025-01-25, 379.367
1578,2025-01-26, 379.351
1579,2025-01-27, 379.457
1580,2025-01-28, 379.487
1581,2025-01-29, 379.546
1582,2025-01-30, 379.718
1583,2025-01-31, 379.698
1584,2025-02-01, 379.901
1585,2025-02-02, 379.991
1586,2025-02-03, 380.015
1587,2025-02-04, 380.000
1588,2025-02-05, 380.019
1589,2025-02-06, 380.070
1590,2025-02-07, 380.219
1591,2025-02-08, 380.259
1592,2025-02-09, 380.216
1593,2025-02-10, 380.196
1594,2025-02-11, 380.182
1595,2025-02-12, 380.068
1596,2025-02-13, 380.102
1597,2025-02-14, 380.325
1598,2025-02-15, 380.467
1599,2025-02-16, 380.549
1600,2025-02-17, 380.539
1601,2025-02-18, 380.679
1602,2025-02-19, 380.768
1603,2025-02-20, 380.856
1604,2025-02-21, 380.996
1605,2025-02-22, 381.044
1606,2025-02-23, 381.008
1607,2025-02-24, 381.114
1608,2025-02-25, 381.044
1609,2025-02-26, 381.022
1610,2025-02-27, 381.102
1611,2025-02-28, 381.429
1612,2025-03-01, 381.436
1613,2025-03-02, 381.639
1614,2025-03-03, 381.975
1615,2025-03-04, 382.181
1616,2025-03-05, 382.149
1617,2025-03-06, 382.240
1618,2025-03-07, 382.251
1619,2025-03-08, 382.299
1620,2025-03-09, 382.422
1621,2025-03-10, 382.307
1622,2025-03-11, 382.336
1623,2025-03-12, 382.457
1624,2025-03-13, 382.345
1625,2025-03-14, 382.298
1626,2025-03-15, 382.219
1627,2025-03-16, 382.297
1628,2025-03-17, 382.358
1629,2025-03-18, 382.493
1630,2025-03-19, 382.822
1631,2025-03-20, 382.993
1632,2025-03-21, 383.177
1633,2025-03-22, 383.314
1634,2025-03-23, 383.696
1635,2025-03-24, 383.726
1636,2025-03-25, 383.713
1637,2025-03-26, 383.271
1638,2025-03-27, 383.136
1639,2025-03-28, 383.236
1640,2025-03-29, 383.438
1641,2025-03-30, 383.671
1642,2025-03-31, 383.725
1643,2025-04-01, 384.133
1644,2025-04-02, 384.073
1645,2025-04-03, 383.942
1646,2025-04-04, 384.195
1647,2025-04-05, 384.323
1648,2025-04-06, 384.221
1649,2025-04-07, 384.053
1650,2025-04-08, 384.383
1651,2025-04-09, 384.403
1652,2025-04-10, 384.324
1653,2025-04-11, 384.428
1654,2025-04-12, 384.546
1655,2025-04-13, 384.607
1656,2025-04-14, 384.607
1657,2025-04-15, 384.838
1658,2025-04-16, 385.143
1659,2025-04-17, 385.044
1660,2025-04-18, 385.111
1661,2025-04-19, 385.156
1662,2025-04-20, 385.262
1663,2025-04-21, 385.483
1664,2025-04-22, 385.507
1665,2025-04-23, 385.298
1666,2025-04-24, 385.487
1667,2025-04-25, 385.703
1668,2025-04-26, 385.684
1669,2025-04-27, 385.594
1670,2025-04-28, 385.608
1671,2025-04-29, 385.410
1672,2025-04-30, 385.138
1673,2025-05-01, 385.407
1674,2025-05-02, 385.435
1675,2025-05-03, 385.306
1676,2025-05-04, 385.402
1677,2025-05-05, 385.492
1678,2025-05-06, 385.715
1679,2025-05-07, 385.774
1680,2025-05-08, 385.703
1681,2025-05-09, 385.905
1682,2025-05-10, 385.933
1683,2025-05-11, 386.089
